WCS:dhm
WMTS:dhm
WMTS:orto_foraar
WMTS:topo_skaermkort
WMTS:topo_skaermkort_daempet
WMTS:topo_skaermkort_graa
WMS:adm_500_2008_r
WMS:corine_dissemination
WMS:digdag
WMS:cp_inspire
WMS:au_inspire
WMS:gn_inspire
WMS:tn_inspire
WMS:hy_inspire
WMS:mat
WMS:topo25
WMS:topo_skaermkort
WMS:orto_foraar
WMS:dhm
WMS:topo20_hoeje_maalebordsblade
WMS:topo20_lave_maalebordsblade
WMS:topo25_historik
WMS:topo25_preussen_maalebordsblade
WMS:topo4cm_1980_2001
WMS:topo4cm_1953_1976
WMS:topo50
WMS:topo50_historik
WMS:topo100
WMS:topo100_historik
WMS:topo_geo
WMS:topo_basis
WMS:topo_fot
WMS:topomat
WMS:dagi
WMS:grid
GEO:coordinatetransformation
GEO:dhm_t
GEO:geoA
GEO:geoAM
GEO:geoAS
GEO:geoA7
GEO:geoBM
GEO:geoE
GEO:geoEM
GEO:geoK
GEO:geoKE
GEO:geokeys_v4
GEO:geoKN
GEO:geoK7
GEO:geoM
GEO:geoNA
GEO:geoNA7
GEO:geoO
GEO:geoP
GEO:geoS
GEO:geoSS
GEO:geoS7
GEO:geoT
GEO:geoV
GEO:geoVA
GEO:geoVA7
GEO:geoV7
GEO:geoV72
GEO:Geosearch
GEO:RestGeokeys_v2
